Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Nurhidayah N.N., Halim N., Basri M.",57219911307;57219911742;57189348778;,Analyzing Student¡¯s Learning Outcome Using Systemic Approach,2020,Asian EFL Journal,27,41,,230,247,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096069365&partnerID=40&md5=397b7b6568f773a4836f1ee25e78f772,"STKIP YPUP, Makassar, Indonesia; State University of Makassar, Indonesia","Nurhidayah, N.N., STKIP YPUP, Makassar, Indonesia; Halim, N., STKIP YPUP, Makassar, Indonesia; Basri, M., State University of Makassar, Indonesia","The main goal of a learning program in education is made to construct students¡¯ understanding and skill of how things happened. Thus, a lesson that emphasizes an output over an approach becomes very important to be considered on each teaching-plan. This phenomena are needed to emphasize using problem solving to apply systemic approach. The idea of using this form can perform an action to assist students in solving a problem. The problem solving steps based on systemic approach consists of four stages, namely problem analysis, problem solving process planning, calculation, and checking answers and interpretation of results. Classroom action research was chosen to apply at this study, which is aimed to see the increasing of student learning outcomes after systemic approach to problem solving is applied. The subject of this research is 35 students of Graphic Design class. In this study, it is a matter of students learning outcomes on the material Augmented Reality by applying Metaverse. This research was conducted in two cycles because in the second cycle, the indicator of success has been reached that the students achieve the minimal clarity of at least 75%. The results showed that students learning outcomes in the first cycle reached 37.14% classical completeness, and in the second cycle of classical completeness of 85.71%. This shows that the application of systemic approach to problem solving can increase student learning outcomes. ? 2020 Asian E F L Journal Press. All rights reserved.",Augmented reality; Learning outcomes; Problem solving; Systemic approach,,Article,Final,,Scopus,2-s2.0-85096069365
Jun G.,57201548314;,Virtual Reality Church as a New Mission Frontier in the Metaverse: Exploring Theological Controversies and Missional Potential of Virtual Reality Church,2020,Transformation,37,4,,297,305,,,10.1177/0265378820963155,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091779889&doi=10.1177%2f0265378820963155&partnerID=40&md5=32bf4bb1a4f9a12474a6aab2aae90eec,"Oxford Centre for Mission Studies, Oxford, United Kingdom","Jun, G., Oxford Centre for Mission Studies, Oxford, United Kingdom","The combination of COVID-19 and the Fourth Industrial Revolution has brought an unprecedented new normal, which has affected all aspects of human life, including religious activities. As a consequence, church mission and different ministries have found themselves more dependent on media. Furthermore, the convergent digital technology continually develops augmented reality and virtual reality, in which churches are planted and continue to carry out their mission and ministries. Although virtual reality churches are new mission frontiers in the digital age, there are several theological issues from the conventional perspective of church ministry and mission. This paper aims to address the controversial theological issues and reflect on them from an ecclesiological perspective to explore a theological possibility to overcome the issues and to justify their mission and ministries in virtual reality. ? The Author(s) 2020.",Church 4.0; Church and media; Church¡¯s mission in the metaverse; Cybersociality and future church; Ecclesial nature of virtual reality church; Ecclesiastical practices of virtual reality church; Future mission of the church in the digital age; Mission for digital natives; Virtual reality church,,Article,Final,,Scopus,2-s2.0-85091779889
Huggett J.,55327443600;,Virtually real or really virtual: Towards a heritage metaverse?,2020,Studies in Digital Heritage,4,1,,1,15,,,10.14434/sdh.v4i1.26218,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106350787&doi=10.14434%2fsdh.v4i1.26218&partnerID=40&md5=b6d84faf8d66365848ede8baa8834743,"Archaeology, School of Humanities, University of Glasgow, Glasgow, G12 8QQ, United Kingdom","Huggett, J., Archaeology, School of Humanities, University of Glasgow, Glasgow, G12 8QQ, United Kingdom","The hype surrounding the impending mainstreaming of Virtual Reality can seem to prioritize the digital above the critical. With the development of VR said to be at a pivotal point, there is an important opportunity to consider the emergence of virtual heritage and its potential futures. This paper argues that there is a disjunction between the present reality of virtual heritage and virtual reality and discusses the twin challenges of presence and realism within virtual reality. In particular, it highlights a paradox inherent in virtual heritage and virtual reality and proposes the use of ¡®loose-realism¡¯ as a solution. Ultimately, the challenge is to address the claims that virtual reality represents a new class of information system, or metaverse, in order that virtual heritage fully engages with inquiry about the past. ? [2019] by the author; licensee Studies in Digital Heritage, IU, Bloomington (IN), USA. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution License (CC BY-NC).",Archaeogaming; Virtual Heritage; Virtual Immersion; Virtual Presence; Virtual Realism; Virtual Reality,,Article,Final,,Scopus,2-s2.0-85106350787
"Estudante A., Dietrich N.",57216209929;24070415100;,Using Augmented Reality to Stimulate Students and Diffuse Escape Game Activities to Larger Audiences,2020,Journal of Chemical Education,97,5,,1368,1374,,17,10.1021/acs.jchemed.9b00933,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082792888&doi=10.1021%2facs.jchemed.9b00933&partnerID=40&md5=1240f7c675e91b9f0d7cce06112a24fe,"Agrupamento de Escolas Jo?o de Deus, Faro, Portugal; Toulouse Biotechnology Institute (TBI), Universit? de Toulouse, CNRS, INRA, INSA, Toulouse, 31077, France","Estudante, A., Agrupamento de Escolas Jo?o de Deus, Faro, Portugal; Dietrich, N., Toulouse Biotechnology Institute (TBI), Universit? de Toulouse, CNRS, INRA, INSA, Toulouse, 31077, France","In a world engaged in a perpetual race for progress, augmented reality (AR) is a new frontier that has attracted much research attention in recent years. The generalization of smartphones and the miniaturization and democratization of connected gadgets are leading to new uses and new expectations. In this article, we provide an AR application to the trending educational activity of escape games in order to diffuse AR to a large audience. As the application of an educational escape game, which is a good tool to improve the motivation and communication skills of students, requires considerable time for design, manufacturing, and operating, a numeric, mobile AR version is proposed here. For this purpose, an original paper-based version of the scenario is presented, principally turning around the Solvay process for a high school/college audience. In this scenario, the students are led to follow in the footsteps of a young Belgian physicist, Ernest Solvay. Through enigmas, participants discover a secret room containing Solvay's secrets in Brussels. Puzzles about the periodic table of elements, the CPK color code, chemical reaction balancing, the notion of molar mass, the Solvay process, or the philanthropic conferences organized by Solvay and the many other scientists involved are used to illustrate the chemical process discovered. This scenario and the Leblanc process scenario have been adapted to an AR experience with the open application Metaverse. Unlike conventional escape game or escape lab activities, our AR escape games can be easily diffused to large audience classrooms without the presence of any teacher being required and without any systematic preparation. The advantages and limits of such tools are discussed. The feedback received from students that participated in a test exercise with the tool corroborates the increase of motivation through such activities. ? 2020 American Chemical Society and Division of Chemical Education, Inc.",Chemical Engineering; Collaborative/Cooperative Learning; Communication/Writing; General Public; History/Philosophy; Humor/Puzzles/Games; Inquiry-Based/Discovery Learning; Physical Properties; Reactions; Student-Centered Learning,,Article,Final,,Scopus,2-s2.0-85082792888
George Reyes C.E.,57221999857;,Perception of high school students about using Metaverse in augmented reality learning experiences in mathematics [Percepci?n de estudiantes de bachillerato sobre el uso de Metaverse en experiencias de aprendizaje de realidad aumentada en matem?ticas],2020,"Pixel-Bit, Revista de Medios y Educacion",58,,,143,159,,4,10.12795/pixelbit.74367,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091235745&doi=10.12795%2fpixelbit.74367&partnerID=40&md5=ef35dbb30bb05dfb5199ec4139a3e626,"Grupo de Investigaci?n de Enfoque Estrat?gico de Innovaci?n Educativa, Escuela de Humanidades y Educaci?n, Instituto Tecnol?gico y de Estudios Superiores de Monterrey., Blvd. Felipe ?ngeles 2003, Venta Prieta, Pachuca de Soto, Hgo, 42080, Mexico","George Reyes, C.E., Grupo de Investigaci?n de Enfoque Estrat?gico de Innovaci?n Educativa, Escuela de Humanidades y Educaci?n, Instituto Tecnol?gico y de Estudios Superiores de Monterrey., Blvd. Felipe ?ngeles 2003, Venta Prieta, Pachuca de Soto, Hgo, 42080, Mexico","The incorporation of Information and Communication Technologies (ICT) in classrooms is leading to the emergence of new learning scenarios based on educational innovation where the use of mobile devices for teaching is incorporated. In this research, the perceptions of students from the upper-middle level of a private educational institution in Mexico are analyzed with respect to the implementation of augmented reality teaching strategies based on the Metaverse mobile application. The study was descriptive, based on the application of surveys. Data recovery was carried out using a digital questionnaire designed expressly. 192 first semester students who attended the Mathematics Fundamentals course in the August-December 2018 period participated. The results revealed that, in relation to the previous school year, improvements in the school approval index were achieved, that there is an affinity to use reality increased in the classroom and that the perception regarding changes in learning when using strategies mediated by these tools is favorable. Therefore, it is inferred that the application of augmented reality in the teaching of mathematics significantly favors student performance. ? 2020 Universidad de Sevilla. All rights reserved.",Augmented reality; Innovation; Learning strategies; Mathematics; Mobile learning,,Article,Final,,Scopus,2-s2.0-85091235745
Murray J.H.,57216484788;,Virtual/reality: how to tell the difference,2020,Journal of Visual Culture,19,1,,11,27,,,10.1177/1470412920906253,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083678562&doi=10.1177%2f1470412920906253&partnerID=40&md5=742872ef4e3b915a21d5536ef9547173,,"Murray, J.H.","With the advent of mass consumer virtual reality (VR) headsets and controllers in the second decade of the 20th century, some experts have predicted we are on a path toward losing the distinction between the real and the virtual. These predictions overstate the empirical evidence for the effects of VR; ignore its technical limitations; take for granted highly speculative claims about the nature of consciousness; and, most fundamentally, lose sight of the continuities between VR and other representational media. This article argues against thinking of VR as a magical technology for creating seamless illusions. Instead it situates VR as an emerging medium within an evolving community that is beginning to develop the media conventions to support sustained interaction and immersion. The future of VR is not an inevitable and delusional metaverse but a medium of representation that will always require our active creation of belief. ? The Author(s), 2020.",consciousness; ethics; immersion; metaverse; representation; virtual reality (VR),,Article,Final,,Scopus,2-s2.0-85083678562
"Monreal M.E.B., Santiago M.L.",55560647400;57210733342;,The machinima Entrevista de trabajo / Entretien d¡¯embauche : a digital resource for learning French in a university context [La machinima Entrevista de trabajo / Entretien d¡¯embauche : une ressource num?rique pour l¡¯apprentissage de la langue fran?aise en contexte universitaire],2020,Synergies Europe,,15,,163,179,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101770499&partnerID=40&md5=5317fc9bbcd696e94c9a6b6d24ba4af9,"Facult? d¡¯?conomie, D?partement de Philologie Fran?aise et Italienne, Iulma-Universitat de Val?ncia, Universitat de Val?ncia; ?cole Technique Sup?rieure d¡¯Architecture, D?partement de Linguistique Appliqu?e, Universitat Polit?cnica de Val?ncia","Monreal, M.E.B., Facult? d¡¯?conomie, D?partement de Philologie Fran?aise et Italienne, Iulma-Universitat de Val?ncia, Universitat de Val?ncia; Santiago, M.L., ?cole Technique Sup?rieure d¡¯Architecture, D?partement de Linguistique Appliqu?e, Universitat Polit?cnica de Val?ncia","A machinima is a video made in a virtual world or metaverse, in which avatars (virtual characters who represent the users of this world) play different roles. This article presents the machinima entitled Entrevista de trabajo/Entretien d¡¯embauche, which was created in the Second Life metaverse to simulate a professional situation in the touristic domain. This machinima was designed to be used with French students in a university context. After a brief theoretical introduction, this study presents examples of didactic exploitation which show that learning with digital resources is motivating for students because they are, in fact, closer to their daily lives, all imbued with technology. ? 2020 GERFLINT. All rights reserved.",: teaching languages; French as a Foreign Language; Machinima; Second Life,,Article,Final,,Scopus,2-s2.0-85101770499
"Erturk E., Reynolds G.-B.",55377835800;57222037703;,The expanding role of immersive media in education,2020,"Proceedings of the 14th IADIS International Conference e-Learning 2020, EL 2020 - Part of the 14th Multi Conference on Computer Science and Information Systems, MCCSIS 2020",,,,191,194,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101088122&partnerID=40&md5=ad165d378988ff5d3ee1365f0d138737,"Eastern Institute of Technology, 501 Gloucester Street, Taradale, Napier, 4112, New Zealand","Erturk, E., Eastern Institute of Technology, 501 Gloucester Street, Taradale, Napier, 4112, New Zealand; Reynolds, G.-B., Eastern Institute of Technology, 501 Gloucester Street, Taradale, Napier, 4112, New Zealand","This paper seeks to understand the impact of immersive media, in particular augmented reality, within the education sector. A small experimental methodology was adopted alongside a current literature review. Three research questions were posited as follows: (1) What are the affordances of immersive media within education? (2) What are the barriers to immersive media in education? (3) How may immersive media be implemented? Affordances of immersive media include greater content customisation, increased creativity with less risk, promoting student interaction, enhanced motivation and engagement, and the chance for students to engage in extraordinary experiences. In 2020, many students around the world are staying home and studying in isolation, as a result of the COVID-19 pandemic. In this emergency context, mobile applications can offer interesting experiences that can make life and learning less difficult and more pleasant. The mobile web application Metaverse was used to exemplify in two different ways how immersive media can be appropriately used as a tool in a university level education setting. The first prototype was a short quiz on general knowledge about New Zealand, to help orient new international students. The second prototype was a quick poll to feel the pulse and understand the mood of students while at home and physically away from the campus and their lecturers. In summary, the authors present an updated review of this technology and present their own new examples of applications that serve additional purposes. ? Proceedings of the 14th IADIS International Conference e-Learning 2020, EL 2020 - Part of the 14th Multi Conference on Computer Science and Information Systems, MCCSIS 2020. All rights reserved.",Augmented Reality; Educational Technology; Home Learning; Immersive Media; Mobile Learning,Augmented reality; E-learning; Information systems; Information use; Learning systems; Emergency contexts; Experimental methodology; International students; Mobile applications; Mobile web applications; Motivation and engagements; Research questions; Student interactions; Students,Conference Paper,Final,,Scopus,2-s2.0-85101088122
D?az J.E.M.,57218903416;,Virtual World as a Complement to Hybrid and Mobile Learning,2020,International Journal of Emerging Technologies in Learning,15,22,,267,274,,2,10.3991/ijet.v15i22.14393,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099904017&doi=10.3991%2fijet.v15i22.14393&partnerID=40&md5=b6aa7a69e6cfde09e0b97272643f1431,"Universidad de Cundinamarca, Ch?a, Colombia","D?az, J.E.M., Universidad de Cundinamarca, Ch?a, Colombia","Virtual worlds in higher education have opened new possibilities for innovation in the teaching-learning process. In this sense, the description of the integration of this emerging technology with hybrid and mobile learning models is presented, which seeks to streamline and make flexible the access to information to the student and teacher inside and outside the classroom, intending that pedagogical didactics were more inclusive and participatory. With this in mind, a virtual world was developed as a digital tool for teaching support to students and teachers of the Faculty of Systems Engineering of the University of Cundi-namarca, with a view to establishing its viability to be implemented and to demonstrate its potential as an academic resource that motivates students in their training and the teacher to develop new digital skills and competences. ? 2020. iJET. All Rights Reserved.",Avatar; Digital tools; Emerging technologies; Metaverse; Moodle; Open simulator; Singularity,Digital devices; Education computing; Learning systems; Personnel training; Students; Virtual reality; Academic resources; Digital skills; Emerging technologies; Higher education; Mobile Learning; Mobile learning models; Teaching-learning process; Virtual worlds; E-learning,Article,Final,,Scopus,2-s2.0-85099904017
"Girard J., Robertson L.",57220039837;36554701000;,Ready teacher one: A journey into the future of technology and pedagogy through virtual reality,2020,"IMSCI 2020 - 14th International Multi-Conference on Society, Cybernetics and Informatics, Proceedings",,,,154,157,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096557968&partnerID=40&md5=7f12c7f87b05cfe2b6fb77f389c9fa4b,"Faculty of Education, Ontario Tech University, Oshawa, ON  L1M2A0, Canada","Girard, J., Faculty of Education, Ontario Tech University, Oshawa, ON  L1M2A0, Canada; Robertson, L., Faculty of Education, Ontario Tech University, Oshawa, ON  L1M2A0, Canada","This paper describes proposed research to be undertaken by a graduate student in Education (the researcher). Due to the pandemic, teacher learning has shifted to an online mode, but regardless there has been little research in the area of teacher professional development using virtual reality. In this research by design study, the researcher will use higher-end virtual reality (VR) systems (Oculus Quest, Oculus VR LLC, Facebook Inc., Menlo Park, CA) in a digital, polysynchronous, collaborative virtual learning environment to conduct fully immersive teacher professional development sessions. This overall research by design model will allow the researcher to design, along with teacher participants, a teaching framework for using virtual reality in schools. This will be done by assessing and reassessing teacher progress over the eight immersive training sessions and documenting the possibilities offered by this new technology to create engaging, contextualized and authentic student experiences. The research will take place in the fall of 2020, whether schools are open for physically-present classes or not. The 16 research participants will be high-school teachers, representing each of the French First Language District school boards in Ontario, Canada. The goal of this study is to address the gaps in the research by investigating how these new technologies, along with attention to pedagogical design, could help educators enhance teaching, learning and student outcomes using virtual reality. ? IMSCI 2020.All right reserved.",Head-mounted device; Immersion; Metaverse; Simulation; Virtual learning environment; Virtual reality,"Computer aided instruction; Education computing; Personnel training; Students; Virtual addresses; Collaborative virtual learning environments; Graduate students; High school teachers; Ontario , Canada; Pedagogical designs; Student experiences; Teacher professional development; Training sessions; Virtual reality",Conference Paper,Final,,Scopus,2-s2.0-85096557968
"Suzuki S.-N., Kanematsu H., Barry D.M., Ogawa N., Yajima K., Nakahira K.T., Shirai T., Kawaguchi M., Kobayashi T., Yoshitake M.",7405349485;7003931461;7202480836;7402629548;36635097000;16549931300;56825049900;57225721105;56086399300;7005914986;,Virtual experiments in metaverse and their applications to collaborative projects: The framework and its significance,2020,Procedia Computer Science,176,,,2125,2132,,,10.1016/j.procs.2020.09.249,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093357524&doi=10.1016%2fj.procs.2020.09.249&partnerID=40&md5=7fa3c925dbf3cd7633496857014611d8,"National Institute of Technology (KOSEN), Oyama College, 771, Ooaza-Nakakuki, Oyama, Tochigi, 323-0806, Japan; National Institute of Technology (KOSEN), Suzuka College, Shiroko-cho, Suzuka, Mie, 510-0294, Japan; Clarkson University/SUNY Canton, Potsdam/Canton, NY, United States; National Institute of Technology (KOSEN), Gifu College, Kami-Makuwa, Motosu, Gifu, 501-0495, Japan; National Institute of Technology (KOSEN), Sendai College, 4-16-1, Ayashi Chuou, Aoba-ku, Sendai, Miyagi, 989-3128, Japan; Nagaoka University of Technology, 1603-1, Kami-Tomioka, Nagaoka, Niigata, 940-2188, Japan; National Institute of Technology (KOSEN), 624-1, Numa, Tsuyama, Okayama, 708-8509, Japan; National Institute for Materials Science, 1-1, Namiki, Tsukuba, Igaraki, 305-0044, Japan","Suzuki, S.-N., National Institute of Technology (KOSEN), Oyama College, 771, Ooaza-Nakakuki, Oyama, Tochigi, 323-0806, Japan; Kanematsu, H., National Institute of Technology (KOSEN), Suzuka College, Shiroko-cho, Suzuka, Mie, 510-0294, Japan; Barry, D.M., Clarkson University/SUNY Canton, Potsdam/Canton, NY, United States; Ogawa, N., National Institute of Technology (KOSEN), Gifu College, Kami-Makuwa, Motosu, Gifu, 501-0495, Japan; Yajima, K., National Institute of Technology (KOSEN), Sendai College, 4-16-1, Ayashi Chuou, Aoba-ku, Sendai, Miyagi, 989-3128, Japan; Nakahira, K.T., Nagaoka University of Technology, 1603-1, Kami-Tomioka, Nagaoka, Niigata, 940-2188, Japan; Shirai, T., National Institute of Technology (KOSEN), Suzuka College, Shiroko-cho, Suzuka, Mie, 510-0294, Japan; Kawaguchi, M., National Institute of Technology (KOSEN), Suzuka College, Shiroko-cho, Suzuka, Mie, 510-0294, Japan; Kobayashi, T., National Institute of Technology (KOSEN), 624-1, Numa, Tsuyama, Okayama, 708-8509, Japan; Yoshitake, M., National Institute for Materials Science, 1-1, Namiki, Tsukuba, Igaraki, 305-0044, Japan","This paper introduces and describes a learning system for analyzing devices in a virtual world and points out its significance for current research collaboration. Now we are in Society 5.0, so daily problems should be solved by IoT (Internet of Things) with a mutual collaboration without borders. The authors need to collaborate with each other among remote organizations and different nations. For such situations, we need to establish the learning system for analyzing devices which would lead to an actual sharing system in the future. In this paper, the proposed concept for the learning system in metaverse is explained. The significance of the system is described, too. ? 2020 The Authors. Published by Elsevier B.V.",Learning system of analyzing devices; Metaverse; Remote sharing system of analyzing devices; Second Life,Internet of things; Knowledge based systems; Virtual reality; Collaborative projects; Research collaborations; Sharing systems; Virtual experiments; Virtual worlds; Learning systems,Conference Paper,Final,,Scopus,2-s2.0-85093357524
